"","x"
"314","SEMA4G"
"315","PABPC1L"
"316","GDPD2"
"317","NUPR1"
"318","NME5"
"319","CCL18"
"320","C1QTNF6"
"321","OVCH2"
"322","TTC21A"
"323","CYP2R1"
"324","HOXA2"
"325","GAS6-AS1"
"326","LPA"
"327","GUSBP11"
"328","QRICH2"
"329","HOXA1"
"330","NPFF"
"331","ALOX5"
"332","TUBBP5"
"333","MPPED2"
"334","RIPK3"
"335","EMX2OS"
"336","TSNAXIP1"
"337","RAD52"
"338","LOC155060"
"339","H1FX-AS1"
"340","MAPK15"
"341","ITGB7"
"342","LOC101928100"
"343","CZ1P-ASNS"
"344","LOC653160"
"345","NIPSNAP3B"
"346","CRYBG2"
"347","SNAI3"
"348","CERS1"
"349","SLCO4A1"
"350","CATSPERE"
"351","RNF217"
"352","MIR205"
"353","SH3GL2"
"354","AGR3"
"355","PRKXP1"
"356","DCUN1D2"
"357","UBQLNL"
"358","TRPV1"
"359","PRSS3"
"360","CLDN3"
"361","LYZ"
"362","IL17RA"
"363","NME3"
"364","DOPEY1"
"365","AOC2"
"366","LOC100288778"
"367","SLC5A9"
"368","ANKRD19P"
"369","PMP22"
"370","KMT5C"
"371","HLA-J"
"372","CYP2D7"
"373","LOC171391"
"374","TNNC1"
"375","PPIEL"
"376","LYG1"
"377","C8orf58"
"378","DGAT2"
"379","LINC00240"
"380","B3GNT3"
"381","HSP90AB4P"
"382","LRRC37A3"
"383","PARP15"
"384","RELL2"
"385","TNK1"
"386","MST1"
"387","ADAMTS13"
"388","FAM181B"
"389","AKR1C4"
"390","C15orf48"
"391","SDHAP3"
"392","ADCY4"
"393","HOXD3"
"394","KCNK5"
"395","TNS2"
"396","SRRM3"
"397","LRRC6"
"398","PLXDC1"
"399","LINC00954"
"400","LOC101928034"
"401","SREBF1"
"402","C1RL-AS1"
"403","IHH"
"404","CLDN15"
"405","SPRR1B"
"406","LINC00504"
"407","ANKRD24"
"408","FANK1"
"409","PGBD1"
"410","FSTL3"
"411","CRYGS"
"412","TLX1"
"413","PHYHIP"
"414","C19orf18"
"415","MST1P2"
