"","x"
"313","PPIEL"
"314","C8orf58"
"315","DGAT2"
"316","LINC00240"
"317","B3GNT3"
"318","HSP90AB4P"
"319","LRRC37A3"
"320","RELL2"
"321","ADAMTS13"
"322","FAM181B"
"323","AKR1C4"
"324","C15orf48"
"325","SDHAP3"
"326","ADCY4"
"327","KCNK5"
"328","SRRM3"
"329","LRRC6"
"330","PLXDC1"
"331","LINC00954"
"332","SREBF1"
"333","C1RL-AS1"
"334","SPRR1B"
"335","LINC00504"
"336","ANKRD24"
"337","FANK1"
"338","PGBD1"
"339","SUZ12P1"
"340","IL11RA"
"341","SNORA3B"
"342","KCNQ1OT1"
"343","NMNAT3"
"344","WDR97"
"345","OVGP1"
"346","PKIB"
