"","x"
"311","APBB3"
"312","PINLYP"
"313","NRBP2"
"314","DENND6B"
"315","TLR2"
"316","NPIPB5"
"317","TBX19"
"318","LOC102724323"
"319","AMY2B"
"320","LOC100652768"
"321","SLC46A3"
"322","NTN5"
"323","LAMA5"
"324","MEGF6"
"325","ABCA10"
"326","GPRASP1"
"327","CAPN10-AS1"
"328","PLXNB1"
"329","LOC100288203"
"330","PABPC1L"
"331","NME5"
"332","CCL18"
"333","C1QTNF6"
"334","TTC21A"
"335","CYP2R1"
"336","MSANTD2"
"337","HOXA2"
"338","CTBP1-AS"
"339","LPA"
"340","S100A8"
"341","GUSBP11"
"342","DZANK1"
"343","QRICH2"
"344","MFSD7"
"345","IDUA"
"346","NPFF"
"347","DLEC1"
"348","NPIPB3"
"349","CYP4Z2P"
"350","LINC01089"
"351","ACCS"
"352","SH2D3A"
"353","TSNAXIP1"
"354","CCDC136"
"355","RAD52"
"356","LOC155060"
"357","H1FX-AS1"
"358","PRSS53"
"359","TGFB3"
"360","ITGB7"
"361","CXCL8"
"362","CZ1P-ASNS"
"363","LOC653160"
"364","NIPSNAP3B"
"365","CRYBG2"
"366","SNAI3"
"367","LINC002481"
"368","ADM5"
"369","CATSPERE"
"370","SLC7A4"
"371","MIR205"
"372","LINC00680"
"373","C5orf66"
"374","DCUN1D2"
"375","CFAP69"
"376","UBQLNL"
"377","LOC284454"
"378","TRPV1"
"379","PRSS3"
"380","CXCL10"
"381","SNORD47"
"382","TDH"
"383","LYZ"
"384","IL17RA"
"385","DOPEY1"
"386","DOK7"
"387","PGAM2"
"388","SLC5A9"
"389","CHRNA10"
"390","TPTE2P5"
"391","KMT5C"
"392","TPCN1"
"393","CYP2D7"
"394","LOC171391"
"395","C8orf58"
"396","FCGR3A"
"397","LINC00960"
"398","LINC00240"
"399","LOC646471"
"400","LAT"
"401","RELL2"
"402","LOC100129534"
"403","LOC654780"
"404","LINC00630"
"405","MCM3AP-AS1"
"406","AKR1C4"
"407","PKD1P1"
"408","SLC26A1"
"409","BCAT1"
"410","C15orf48"
"411","SDHAP3"
"412","HOXD3"
"413","LINC00954"
"414","LOC101928034"
"415","SLC25A34"
"416","SNORA25"
"417","ATP2A1"
"418","TFAP2E"
"419","SPRR1B"
"420","LINC00504"
"421","ERVK13-1"
"422","AGAP5"
"423","PRSS3P2"
"424","SNORA3B"
"425","MYO9A"
"426","SRPK3"
"427","TMSB15A"
"428","PKIB"
"429","DNAJC27"
"430","ODAM"
"431","HLA-DRA"
"432","LOC100506472"
