"","x"
"312","TLR2"
"313","NPIPB5"
"314","TBX19"
"315","AQP7"
"316","AMY2B"
"317","LOC100652768"
"318","NTN5"
"319","LAMA5"
"320","MEGF6"
"321","GPRASP1"
"322","CAPN10-AS1"
"323","PLXNB1"
"324","SRRM5"
"325","LOC100288203"
"326","PABPC1L"
"327","KRT4"
"328","ALDH3A1"
"329","DNAH17"
"330","CCL18"
"331","C1QTNF6"
"332","TTC21A"
"333","ENGASE"
"334","TFAP2B"
"335","CYP2R1"
"336","LOC90246"
"337","HOXA2"
"338","GAS6-AS1"
"339","CTBP1-AS"
"340","GUSBP11"
"341","DZANK1"
"342","LOC105376398"
"343","QRICH2"
"344","MFSD7"
"345","IDUA"
"346","NPFF"
"347","DLEC1"
"348","NPIPB3"
"349","PLA2G6"
"350","CYP4Z2P"
"351","ACCS"
"352","LGR6"
"353","SH2D3A"
"354","TSNAXIP1"
"355","CCDC136"
"356","RAD52"
"357","CYP2C8"
"358","LOC155060"
"359","TCIRG1"
"360","H1FX-AS1"
"361","PRSS53"
"362","CXCL8"
"363","LOC653160"
"364","NIPSNAP3B"
"365","CRYBG2"
"366","SNAI3"
"367","ADM5"
"368","SLC7A4"
"369","LINC00680"
"370","FIRRE"
"371","C5orf66"
"372","DCUN1D2"
"373","CFAP69"
"374","LINC00894"
"375","UBQLNL"
"376","LOC284454"
"377","TRPV1"
"378","PRSS3"
"379","CXCL10"
"380","IL17RA"
"381","DOK7"
"382","PGAM2"
"383","CHRNA10"
"384","TPTE2P5"
"385","KMT5C"
"386","TPCN1"
"387","CYP2D7"
"388","LOC171391"
"389","ATG16L2"
"390","C8orf58"
"391","FCGR3A"
"392","ABCC10"
"393","CENPT"
"394","LINC00240"
"395","GYG2P1"
"396","LAT"
"397","ANKK1"
"398","LOC654780"
"399","TNK1"
"400","MST1"
"401","CASC9"
"402","AKR1C4"
"403","CASP14"
"404","BCAT1"
"405","C15orf48"
"406","SDHAP3"
"407","SRRM3"
"408","MIR1914"
"409","ITGA3"
"410","FBXO44"
"411","ANKMY1"
"412","SNORA25"
"413","TFAP2E"
"414","SPRR1B"
"415","LINC00504"
"416","SERPINB11"
"417","ERVK13-1"
"418","SLC9A8"
"419","FANK1"
"420","PDE6B"
"421","AGAP5"
"422","CRYGS"
"423","CFAP47"
"424","CLEC2B"
"425","PRSS3P2"
"426","TMSB4Y"
"427","CYP4Z1"
"428","EP400NL"
"429","SCAND2P"
"430","PKIB"
"431","PCDH7"
"432","ODAM"
