"","x"
"327","ATXN2L"
"328","RNF10"
"329","CALM1"
"330","AKAP8"
"331","TRMT2A"
"332","CLDN4"
"333","PCM1"
"334","ENOSF1"
"335","EIF4G1"
"336","NT5C2"
"337","ATP5G2"
"338","STARD10"
"339","TBRG1"
"340","TMBIM6"
"341","XRCC6"
"342","ARSD"
"343","EHMT2"
"344","LGALS3"
"345","ANKRD17"
"346","SYNGR2"
"347","OXA1L"
"348","DUOX2"
"349","CARS2"
"350","RAB40C"
"351","YBX3"
"352","HADHA"
"353","SGPL1"
"354","TUBG2"
"355","LONP1"
"356","ADNP"
"357","MRPS15"
"358","LOC644794"
"359","AGPAT3"
"360","GABRE"
"361","ATP5O"
"362","DYNLRB1"
"363","TRPC4AP"
"364","HEXIM1"
"365","ITPA"
"366","AP2M1"
"367","SLC12A7"
"368","MAU2"
"369","IVD"
"370","U2SURP"
"371","CYP2J2"
"372","PDPR"
"373","POLRMT"
"374","LIMK2"
"375","CSNK2B"
"376","WDR45B"
"377","SERPINB6"
"378","LOC728392"
"379","GALE"
"380","CD59"
"381","SKIV2L"
"382","USP47"
"383","CDK18"
"384","SCNN1A"
"385","AP2A2"
"386","RABL6"
"387","FLJ23867"
"388","DPP9"
"389","DGKQ"
"390","CRTC2"
"391","DST"
"392","BAP1"
"393","TRAP1"
"394","THRAP3"
"395","MRPL27"
"396","USP22"
"397","SAMD1"
"398","HNRNPH1"
"399","UQCRC1"
"400","KIAA0100"
"401","CHMP1A"
"402","RBM3"
"403","TAOK2"
"404","DHX38"
"405","BRD9"
"406","PPP1R13B"
"407","CIR1"
"408","SEMA6A"
"409","ANKZF1"
"410","TBCB"
"411","SRSF2"
"412","CHMP4B"
"413","LAMTOR4"
"414","AKR1C3"
"415","DDX23"
"416","UBR5"
"417","OSBPL7"
"418","OTUD5"
"419","GRINA"
"420","PRDX1"
"421","FBXW5"
"422","PSMA4"
"423","AMT"
"424","ANKRD65"
"425","TBRG4"
"426","AAAS"
"427","PAPD7"
"428","HLA-DRA"
"429","GPBP1"
"430","MARCKSL1"
"431","HECTD3"
"432","ETS2"
