"";"Sample1";"Sample2";"Sample3";"Sample4";"Sample5";"Sample6";"Sample7";"Sample8";"Sample9";"Sample10";"Sample11";"Sample12";"Sample13";"Sample14";"Sample15";"Sample16"
"ERN2";3,45874457709297;6,1579403658917;-0,990151463416451;1,51103400216499;5,46846632958874;-2,2721655241197;8,35601062719775;7,15282156172897;7,439343659699;8,89478655225268;5,18094490431944;3,60480539844637;6,93531437358305;6,6295242952525;8,21178829898976;8,75530651698793
"ADH1C";5,97039040017121;-2,8671991963868;10,8962527940464;-2,39585659344353;-1,34146253613269;4,10287390722722;0,691017250535558;-3,57254469616667;-4,23293434069642;-2,91859383467205;-3,05267477244026;3,00923834249438;-1,53009505445226;-2,80968325968879;-0,831434326158249;0,555291855139431
"FAM83A";4,03065092498868;7,13139123335852;-3,79750638547406;3,43703342072121;-3,66339063102005;3,79392366633807;5,13216150062097;8,67152176802815;-3,49596874653021;6,77431221078364;5,65813166125909;2,16587846698129;-3,64557227187219;2,36823453250706;5,98874463625694;5,66721603248975
"RPS4Y1";8,17854962010099;0,302725805055508;5,08207686413873;8,40099420182363;7,62489871116092;7,16037637626856;8,73653022288205;9,42516405229418;7,86652305951585;8,6618217779529;-1,4677122717191;8,34165092311553;8,43380139437911;8,2381222943188;-0,468864246773541;8,28716338584498
"CCDC198";3,29368533082247;-1,28223669566565;4,8354888116689;-0,810894092722377;-3,66339063102005;-2,2721655241197;6,84418771581134;-3,57254469616667;-5,81789684141758;-4,5035563353932;-3,05267477244026;-4,36290119834675;-5,23053477259335;1,94520424247468;-3,63878924821585;7,02573791616345
"LOC284581";-1,75070878853598;-2,8671991963868;4,96071682925267;-2,39585659344353;-2,0784281302989;0,897759477322609;5,04814524485202;-3,57254469616667;-4,23293434069642;-4,5035563353932;-3,05267477244026;-3,1405087770103;5,14559061668282;5,50953724283509;5,37523122209908;-2,5490448046753
"PADI3";1,05664613352162;8,63214843648979;6,29657130019785;5,93057289367877;7,21695817713597;4,62265223918824;9,87083643153538;3,87866641566566;8,89221002549019;9,21229843513458;5,32670359463101;-1,08988270394033;1,71197973274589;9,05303157672617;9,76408958096853;9,6375027974669
"PLXNB3";3,53469343032627;7,44000161275401;2,46928015522085;2,24799959633119;5,91592530655996;-2,2721655241197;8,82321499183352;6,75949185219498;7,8700255452137;9,05115241614246;5,44318025444691;7,19376450829689;9,28633481017097;8,12857312275003;8,69743834126754;8,1780247533484
"PLCH2";1,41921621290633;4,18808323911438;7,06590557346758;4,07987683752286;7,48063023824684;-2,2721655241197;9,03745088070343;8,7320918276406;8,84349158701836;8,92859404252464;7,39956646799056;7,62448125673238;8,68562460528083;7,61679117382204;8,52391677026656;9,29621000507374
"CLIC6";-1,75070878853598;3,5421917397509;-2,2125438847529;-0,0739284985561711;4,04396850106083;5,02245522477192;6,2232440677197;2,09988064580483;6,59281949218669;5,3340715977782;6,43717318799904;6,79549810779796;5,2563002489697;7,90404691771792;-2,0538267474947;3,72521685658174
