"";"X";"Sample1";"Sample2";"Sample3";"Sample4";"Sample5";"Sample6";"Sample7";"Sample8";"Sample9";"Sample10";"Sample11";"Sample12";"Sample13";"Sample14";"Sample15";"Sample16"
"1";"HIST2H2AB";15,3268436737412;13,8996361624431;15,0833701162124;15,678225351194;15,0317525886362;14,869008037415;15,0910085488961;14,6729462658042;1,0763599846776;1,0763599846776;14,5201556343156;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"2";"KRT79";13,0728950248677;13,5310267300812;11,6720642056207;1,0763599846776;13,082586432095;1,0763599846776;1,0763599846776;12,9678516583813;1,0763599846776;1,0763599846776;1,0763599846776;13,1495613980548;13,1296096000021;14,2476635578356;13,6470216701925;1,0763599846776
"3";"HIST1H3A";14,1957041367837;13,4528829710899;14,3509146897808;14,1286605238541;13,616562981876;13,9584302654404;14,0339594686434;14,193057107014;1,0763599846776;1,0763599846776;13,7542049388546;1,0763599846776;1,0763599846776;13,1769417774391;1,0763599846776;13,3374875847197
"4";"TUBA1B";13,7222815279429;13,0515104476807;1,0763599846776;13,3128273925636;1,0763599846776;12,9295031662818;12,7704526087819;12,8431820010687;12,3946758004877;1,0763599846776;12,7295927206299;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,9093787494322
"5";"TUBA1C";1,0763599846776;1,0763599846776;12,6307016313361;1,0763599846776;12,9347351921681;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,5319561320948;1,0763599846776;12,0810569837425;12,8443335897026;12,8726666307069;12,4597646092633;12,9093787494322
"6";"POTEF";14,7658903053326;1,0763599846776;14,7902582701928;14,1439087697726;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;13,9829092187062;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"7";"KRT5";1,0763599846776;12,87444133752;11,5768099864288;1,0763599846776;1,0763599846776;1,0763599846776;13,4227932574391;12,2377741322718;1,0763599846776;13,2802244249252;13,5395297249023;12,0455480900026;14,9802835614446;10,7923102481915;13,1453902253106;13,414408113022
"8";"TUBA4A";1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,8983339374863;12,6454092362123;1,0763599846776;1,0763599846776;12,4704055392003;1,0763599846776;1,0763599846776;1,0763599846776;12,5181234638767;1,0763599846776;12,7811437049826
"9";"TRAP1";1,0763599846776;11,6400205252909;1,0763599846776;11,3941657900579;13,2993332132383;1,0763599846776;1,0763599846776;1,0763599846776;10,8152779758184;1,0763599846776;11,2772796030649;1,0763599846776;11,697866661554;1,0763599846776;11,471061627252;1,0763599846776
"10";"POTEE";1,0763599846776;15,2478393034525;1,0763599846776;1,0763599846776;1,0763599846776;14,4751037859083;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;14,0763622317748
"11";"KRT75";1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,6095708325778;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;14,0900846252026;12,3725851837925;1,0763599846776;1,0763599846776;13,5371319816065;1,0763599846776
"12";"OSBPL2";1,0763599846776;13,5013348356408;1,0763599846776;1,0763599846776;12,2707291711527;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;7,8988682224441;1,0763599846776;12,5662231871808;13,4338886804873
"13";"KRT6A";1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,021452647592;1,0763599846776;12,5075977854864;13,1265908747165;1,0763599846776;13,7548680271882;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
